Temperature [K];CMF;x;y;P;R;G;B;r;g;b;#rgb
14100;10;0.2649;0.2729;3.241e+16;0.4657;0.6131;1.0000;182;205;255;#b6cdff
14200;2;0.2671;0.2700;2.951e+16;0.4891;0.5945;1.0000;186;203;255;#bacbff
14200;10;0.2646;0.2726;3.293e+16;0.4638;0.6116;1.0000;181;205;255;#b5cdff
14300;2;0.2668;0.2697;2.997e+16;0.4872;0.5929;1.0000;185;202;255;#b9caff
14300;10;0.2644;0.2723;3.344e+16;0.4618;0.6102;1.0000;181;205;255;#b5cdff
14400;2;0.2666;0.2694;3.043e+16;0.4853;0.5913;1.0000;185;202;255;#b9caff
14400;10;0.2642;0.2720;3.396e+16;0.4599;0.6087;1.0000;181;205;255;#b5cdff
14500;2;0.2664;0.2691;3.089e+16;0.4835;0.5898;1.0000;185;202;255;#b9caff
14500;10;0.2639;0.2718;3.448e+16;0.4581;0.6073;1.0000;180;205;255;#b4cdff
14600;2;0.2662;0.2688;3.135e+16;0.4817;0.5882;1.0000;184;202;255;#b8caff
14600;10;0.2637;0.2715;3.500e+16;0.4563;0.6060;1.0000;180;204;255;#b4ccff
14700;2;0.2659;0.2685;3.182e+16;0.4799;0.5868;1.0000;184;201;255;#b8c9ff
14700;10;0.2635;0.2712;3.552e+16;0.4545;0.6046;1.0000;180;204;255;#b4ccff
14800;2;0.2657;0.2682;3.228e+16;0.4782;0.5853;1.0000;184;201;255;#b8c9ff
14800;10;0.2633;0.2709;3.605e+16;0.4527;0.6033;1.0000;179;204;255;#b3ccff
14900;2;0.2655;0.2679;3.275e+16;0.4765;0.5839;1.0000;184;201;255;#b8c9ff
14900;10;0.2631;0.2707;3.657e+16;0.4510;0.6020;1.0000;179;204;255;#b3ccff
15000;2;0.2653;0.2676;3.322e+16;0.4749;0.5824;1.0000;183;201;255;#b7c9ff
15000;10;0.2629;0.2704;3.710e+16;0.4493;0.6007;1.0000;179;204;255;#b3ccff
